paper,author,species,experiment,spawn/brood,response,unit,mean_value,n,standard_error,standard_deviation,sediment_mg_per_l,depth_m,ammonium_microM,phosphorous_microM,light_treatment_percent_transmission,copper_ug_per_l,tributyltin_ug_per_l,zinc_ug_per_l,cadmium_ug_per_l,salinity_psu,nitrate_microM,tempertaure_degrees_celcius,mercury_ug/_per_l,benzo(a)pyrene_ug_per_l,acidification_pH,lead_ug_per_l,nickel_ug_per_l,factor,life stage,unit,mean_value,control,success,failure
Biohemical reposne of cnidarian larvae to mercury and benzo(a)pyrene exposure,"Farina, Ramos, Bastidas, Garcia",Porites astreoides,43,,survivorship,0%,72.375,90,10.196,,,,,,,,,,,,,,,10,,,,BENZO(A)PYRENE,survivorship,ug/L,,,65.1375,24.8625
"Experimental investigation into the effects of suspended sediment on fertilisation, larval survival and settlement in a scleractinian coral",Gilmour,Acropora digitfera,44,,fertilisation,0%,98.021,100,5.446,,0,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,g,,,98.021,1.979
"Experimental investigation into the effects of suspended sediment on fertilisation, larval survival and settlement in a scleractinian coral",Gilmour,Acropora digitfera,44,,fertilisation,0%,21.287,100,10.396,,150,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,g,,,21.287,78.713
"Experimental investigation into the effects of suspended sediment on fertilisation, larval survival and settlement in a scleractinian coral",Gilmour,Acropora digitfera,44,,fertilisation,0%,5.961,100,5.941,,300,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,g,,,5.961,94.039
"Coral Larvae under Ocean Acidification- Survival, Metabolism, and Metamorphosis","Nakamura, Ohki, Suzuki, Sakai",Acropora digitfera,45,,survivorship,0%,72.18,100,12.406,3 days,,,,,,,,,,,,,,,8,,,ACIDIFICATION,survivorship,pH,,,72.18,27.82
"Coral Larvae under Ocean Acidification- Survival, Metabolism, and Metamorphosis","Nakamura, Ohki, Suzuki, Sakai",Acropora digitfera,45,,survivorship,0%,47.382,100,9.398,3 days,,,,,,,,,,,,,,,7.6,,,ACIDIFICATION,survivorship,pH,,,47.382,52.618
"Coral Larvae under Ocean Acidification- Survival, Metabolism, and Metamorphosis","Nakamura, Ohki, Suzuki, Sakai",Acropora digitfera,45,,survivorship,0%,79.755,100,5.263,3 days,,,,,,,,,,,,,,,7.3,,,ACIDIFICATION,survivorship,pH,,,79.755,20.245
"Coral Larvae under Ocean Acidification- Survival, Metabolism, and Metamorphosis","Nakamura, Ohki, Suzuki, Sakai",Acropora digitfera,45,,survivorship,0%,50.774,100,10.902,7 days,,,,,,,,,,,,,,,8,,,ACIDIFICATION,survivorship,pH,,,50.774,49.226
"Coral Larvae under Ocean Acidification- Survival, Metabolism, and Metamorphosis","Nakamura, Ohki, Suzuki, Sakai",Acropora digitfera,45,,survivorship,0%,69.549,100,7.519,7 days,,,,,,,,,,,,,,,7.6,,,ACIDIFICATION,survivorship,pH,,,69.549,30.451
"Coral Larvae under Ocean Acidification- Survival, Metabolism, and Metamorphosis","Nakamura, Ohki, Suzuki, Sakai",Acropora digitfera,45,,survivorship,0%,53.771,100,6.015,7 days,,,,,,,,,,,,,,,7.3,,,ACIDIFICATION,survivorship,pH,,,53.771,46.229
"Elevated temperature reduces survivorship and settlement of the larvae of the Caribbean scleractinian coral, Favia fragum (Esper)",Randall and Szmant,Favia fragum,46,,survivorship,0%,61.306,108,,,,,,,,,,,,,,27,,,,,,TEMPERATURE,survivorship,degrees celcius,,,66.21048,41.78952
"Elevated temperature reduces survivorship and settlement of the larvae of the Caribbean scleractinian coral, Favia fragum (Esper)",Randall and Szmant,Favia fragum,46,,survivorship,0%,73.914,108,,,,,,,,,,,,,,29,,,,,,TEMPERATURE,survivorship,degrees celcius,,,79.82712,28.17288
"Elevated temperature reduces survivorship and settlement of the larvae of the Caribbean scleractinian coral, Favia fragum (Esper)",Randall and Szmant,Favia fragum,46,,survivorship,0%,17.397,108,,,,,,,,,,,,,,31,,,,,,TEMPERATURE,survivorship,degrees celcius,,,18.78876,89.21124
"Elevated temperature reduces survivorship and settlement of the larvae of the Caribbean scleractinian coral, Favia fragum (Esper)",Randall and Szmant,Favia fragum,46,,survivorship,0%,5.217,108,,,,,,,,,,,,,,33,,,,,,TEMPERATURE,survivorship,degrees celcius,,,5.63436,102.36564
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,92.923,100,,5 days,,,,,,0,,,,,,,,,,,,COPPER,survivorship,ug/L,,,92.923,7.077
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,81.947,100,,5 days,,,,,,5,,,,,,,,,,,,COPPER,survivorship,ug/L,,,81.947,18.053
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,60.194,100,,5 days,,,,,,10,,,,,,,,,,,,COPPER,survivorship,ug/L,,,60.194,39.806
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,54.866,100,,5 days,,,,,,20,,,,,,,,,,,,COPPER,survivorship,ug/L,,,54.866,45.134
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,60.226,100,,5 days,,,,,,50,,,,,,,,,,,,COPPER,survivorship,ug/L,,,60.226,39.774
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,24.791,100,,5 days,,,,,,100,,,,,,,,,,,,COPPER,survivorship,ug/L,,,24.791,75.209
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,0.885,100,,5 days,,,,,,200,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0.885,99.115
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,0,100,,5 days,,,,,,500,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,100
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,84.947,100,,6 days,,,,,,0,,,,,,,,,,,,COPPER,survivorship,ug/L,,,84.947,15.053
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,82.288,100,,6 days,,,,,,5,,,,,,,,,,,,COPPER,survivorship,ug/L,,,82.288,17.712
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,79.634,100,,6 days,,,,,,10,,,,,,,,,,,,COPPER,survivorship,ug/L,,,79.634,20.366
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,81.408,100,,6 days,,,,,,20,,,,,,,,,,,,COPPER,survivorship,ug/L,,,81.408,18.592
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,75.209,100,,6 days,,,,,,50,,,,,,,,,,,,COPPER,survivorship,ug/L,,,75.209,24.791
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,46.01,100,,6 days,,,,,,100,,,,,,,,,,,,COPPER,survivorship,ug/L,,,46.01,53.99
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,0,100,,6 days,,,,,,200,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,100
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,47,,survivorship,0%,0,100,,6 days,,,,,,500,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,100
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,88.279,100,,4 days,,,,,,,,,,,,,,,,0,,LEAD,survivorship,ug/L,,,88.279,11.721
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,82.874,100,,4 days,,,,,,,,,,,,,,,,100,,LEAD,survivorship,ug/L,,,82.874,17.126
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,75.712,100,,4 days,,,,,,,,,,,,,,,,500,,LEAD,survivorship,ug/L,,,75.712,24.288
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,72.06,100,,4 days,,,,,,,,,,,,,,,,1000,,LEAD,survivorship,ug/L,,,72.06,27.94
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,72.06,100,,4 days,,,,,,,,,,,,,,,,2000,,LEAD,survivorship,ug/L,,,72.06,27.94
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,75.669,100,,4 days,,,,,,,,,,,,,,,,5000,,LEAD,survivorship,ug/L,,,75.669,24.331
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,56.755,100,,4 days,,,,,,,,,,,,,,,,10000,,LEAD,survivorship,ug/L,,,56.755,43.245
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,0,100,,4 days,,,,,,,,,,,,,,,,20000,,LEAD,survivorship,ug/L,,,0,100
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,93.717,100,,5 days,,,,,,,,,,,,,,,,0,,LEAD,survivorship,ug/L,,,93.717,6.283
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,84.69,100,,5 days,,,,,,,,,,,,,,,,500,,LEAD,survivorship,ug/L,,,84.69,15.31
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,80.172,100,,5 days,,,,,,,,,,,,,,,,1000,,LEAD,survivorship,ug/L,,,80.172,19.828
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,71.165,100,,5 days,,,,,,,,,,,,,,,,5000,,LEAD,survivorship,ug/L,,,71.165,28.835
Development of a Sublethal Test to Determine the Effects of Copper and Lead on Scleractinian Coral Larvae,Reichelt-Brushett and Harrison,Goniastrea aspera,48,,survivorship,0%,75.633,100,,5 days,,,,,,,,,,,,,,,,10000,,LEAD,survivorship,ug/L,,,75.633,24.367
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea retiformis,49,,fertilisation,0%,94.858,500,,,,,,,,0,,,,,,,,,,,,COPPER,survivorship,ug/L,,,474.29,25.71
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea retiformis,49,,fertilisation,0%,23.01,500,,,,,,,,50,,,,,,,,,,,,COPPER,survivorship,ug/L,,,115.05,384.95
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea retiformis,49,,fertilisation,0%,37.103,500,,,,,,,,100,,,,,,,,,,,,COPPER,survivorship,ug/L,,,185.515,314.485
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea retiformis,49,,fertilisation,0%,41.507,500,,,,,,,,150,,,,,,,,,,,,COPPER,survivorship,ug/L,,,207.535,292.465
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea retiformis,49,,fertilisation,0%,19.321,500,,,,,,,,200,,,,,,,,,,,,COPPER,survivorship,ug/L,,,96.605,403.395
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea retiformis,49,,fertilisation,0%,15.573,500,,,,,,,,250,,,,,,,,,,,,COPPER,survivorship,ug/L,,,77.865,422.135
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,49,,fertilisation,0%,65.357,500,,,,,,,,0,,,,,,,,,,,,COPPER,survivorship,ug/L,,,326.785,173.215
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,49,,fertilisation,0%,28.389,500,,,,,,,,50,,,,,,,,,,,,COPPER,survivorship,ug/L,,,141.945,358.055
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,49,,fertilisation,0%,2.362,500,,,,,,,,100,,,,,,,,,,,,COPPER,survivorship,ug/L,,,11.81,488.19
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,49,,fertilisation,0%,0,500,,,,,,,,150,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,500
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,49,,fertilisation,0%,0,500,,,,,,,,200,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,500
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,49,,fertilisation,0%,0,500,,,,,,,,250,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,500
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,49,,fertilisation,0%,91.343,500,,,,,,,,0,,,,,,,,,,,,COPPER,survivorship,ug/L,,,456.715,43.285
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,49,,fertilisation,0%,78.773,500,,,,,,,,50,,,,,,,,,,,,COPPER,survivorship,ug/L,,,393.865,106.135
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,49,,fertilisation,0%,6.299,500,,,,,,,,100,,,,,,,,,,,,COPPER,survivorship,ug/L,,,31.495,468.505
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,49,,fertilisation,0%,4.015,500,,,,,,,,150,,,,,,,,,,,,COPPER,survivorship,ug/L,,,20.075,479.925
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,49,,fertilisation,0%,0,500,,,,,,,,200,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,500
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,49,,fertilisation,0%,0,500,,,,,,,,250,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,500
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora longicyathus,49,,fertilisation,0%,75.588,500,,,,,,,,0,,,,,,,,,,,,COPPER,survivorship,ug/L,,,377.94,122.06
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora longicyathus,49,,fertilisation,0%,10.266,500,,,,,,,,50,,,,,,,,,,,,COPPER,survivorship,ug/L,,,51.33,448.67
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora longicyathus,49,,fertilisation,0%,1.575,500,,,,,,,,100,,,,,,,,,,,,COPPER,survivorship,ug/L,,,7.875,492.125
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora longicyathus,49,,fertilisation,0%,0,500,,,,,,,,150,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,500
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora longicyathus,49,,fertilisation,0%,0,500,,,,,,,,200,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,500
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora longicyathus,49,,fertilisation,0%,0,500,,,,,,,,250,,,,,,,,,,,,COPPER,survivorship,ug/L,,,0,500
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,50,,fertilisation,0%,88.053,500,,,,,,,,,,,0,,,,,,,,,CADMIUM,survivorship,ug/L,,,440.265,59.735
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,50,,fertilisation,0%,75.541,500,,,,,,,,,,,2000,,,,,,,,,CADMIUM,survivorship,ug/L,,,377.705,122.295
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,50,,fertilisation,0%,61.431,500,,,,,,,,,,,4000,,,,,,,,,CADMIUM,survivorship,ug/L,,,307.155,192.845
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,50,,fertilisation,0%,52.171,500,,,,,,,,,,,6000,,,,,,,,,CADMIUM,survivorship,ug/L,,,260.855,239.145
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,50,,fertilisation,0%,52.174,500,,,,,,,,,,,8000,,,,,,,,,CADMIUM,survivorship,ug/L,,,260.87,239.13
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,50,,fertilisation,0%,52.171,500,,,,,,,,,,,10000,,,,,,,,,CADMIUM,survivorship,ug/L,,,260.855,239.145
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,51,,fertilisation,0%,99.435,500,,,,,,,,,,,,,,,,,,,0,NICKEL,survivorship,ug/L,,,497.175,2.825
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,51,,fertilisation,0%,82.498,500,,,,,,,,,,,,,,,,,,,500,NICKEL,survivorship,ug/L,,,412.49,87.51
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,51,,fertilisation,0%,81.368,500,,,,,,,,,,,,,,,,,,,1000,NICKEL,survivorship,ug/L,,,406.84,93.16
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,51,,fertilisation,0%,72.896,500,,,,,,,,,,,,,,,,,,,15000,NICKEL,survivorship,ug/L,,,364.48,135.52
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,51,,fertilisation,0%,61.024,500,,,,,,,,,,,,,,,,,,,2000,NICKEL,survivorship,ug/L,,,305.12,194.88
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,51,,fertilisation,0%,83.618,500,,,,,,,,,,,,,,,,,,,0,NICKEL,survivorship,ug/L,,,418.09,81.91
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,51,,fertilisation,0%,88.687,500,,,,,,,,,,,,,,,,,,,500,NICKEL,survivorship,ug/L,,,443.435,56.565
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,51,,fertilisation,0%,90.397,500,,,,,,,,,,,,,,,,,,,1000,NICKEL,survivorship,ug/L,,,451.985,48.015
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,51,,fertilisation,0%,89.853,500,,,,,,,,,,,,,,,,,,,15000,NICKEL,survivorship,ug/L,,,449.265,50.735
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,51,,fertilisation,0%,87.565,500,,,,,,,,,,,,,,,,,,,2000,NICKEL,survivorship,ug/L,,,437.825,62.175
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,52,,fertilisation,0%,90.558,500,,,,,,,,,,0,,,,,,,,,,ZINC,survivorship,ug/L,,,452.79,47.21
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,52,,fertilisation,0%,3.333,500,,,,,,,,,,1000,,,,,,,,,,ZINC,survivorship,ug/L,,,16.665,483.335
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,52,,fertilisation,0%,1.666,500,,,,,,,,,,2000,,,,,,,,,,ZINC,survivorship,ug/L,,,8.33,491.67
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,52,,fertilisation,0%,1.111,500,,,,,,,,,,3000,,,,,,,,,,ZINC,survivorship,ug/L,,,5.555,494.445
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,52,,fertilisation,0%,0.555,500,,,,,,,,,,4000,,,,,,,,,,ZINC,survivorship,ug/L,,,2.775,497.225
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,52,,fertilisation,0%,0,500,,,,,,,,,,5000,,,,,,,,,,ZINC,survivorship,ug/L,,,0,500
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora longicyathus,53,,fertilisation,0%,93.43,500,,,,,,,,,,,,,,,,,,0,,LEAD,survivorship,ug/L,,,467.15,32.85
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora longicyathus,53,,fertilisation,0%,39.918,500,,,,,,,,,,,,,,,,,,2500,,LEAD,survivorship,ug/L,,,199.59,300.41
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora longicyathus,53,,fertilisation,0%,32.521,500,,,,,,,,,,,,,,,,,,5000,,LEAD,survivorship,ug/L,,,162.605,337.395
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora longicyathus,53,,fertilisation,0%,19.359,500,,,,,,,,,,,,,,,,,,7500,,LEAD,survivorship,ug/L,,,96.795,403.205
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,53,,fertilisation,0%,87.258,500,,,,,,,,,,,,,,,,,,0,,LEAD,survivorship,ug/L,,,436.29,63.71
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,53,,fertilisation,0%,53.5,500,,,,,,,,,,,,,,,,,,2500,,LEAD,survivorship,ug/L,,,267.5,232.5
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,53,,fertilisation,0%,23.049,500,,,,,,,,,,,,,,,,,,5000,,LEAD,survivorship,ug/L,,,115.245,384.755
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Acropora tenius,53,,fertilisation,0%,4.938,500,,,,,,,,,,,,,,,,,,7500,,LEAD,survivorship,ug/L,,,24.69,475.31
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,53,,fertilisation,0%,79.012,500,,,,,,,,,,,,,,,,,,0,,LEAD,survivorship,ug/L,,,395.06,104.94
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,53,,fertilisation,0%,60.077,500,,,,,,,,,,,,,,,,,,2500,,LEAD,survivorship,ug/L,,,300.385,199.615
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,53,,fertilisation,0%,62.96,500,,,,,,,,,,,,,,,,,,5000,,LEAD,survivorship,ug/L,,,314.8,185.2
The effect of selected trace metals on the fertilization success of several scleractinian coral species,Reichelt-Brushett and Harrison,Goniastrea aspera,53,,fertilisation,0%,25.125,500,,,,,,,,,,,,,,,,,,7500,,LEAD,survivorship,ug/L,,,125.625,374.375
Near-future reduction in pH will have no consistent ecologycal effects on the early life-history stages of reef corals,"Chua, Leggat, Moya and Baird",Acropora tenuis,54,,survivorship,0%,48.198,150,24.617,,,,,,,,,,,,,,,,8.2,,,ACIDIFICATION,survivorship,pH,48.198,,72.297,77.703
Near-future reduction in pH will have no consistent ecologycal effects on the early life-history stages of reef corals,"Chua, Leggat, Moya and Baird",Acropora tenuis,54,,survivorship,0%,71.786,150,48.209,,,,,,,,,,,,,,,,8.1,,,ACIDIFICATION,survivorship,pH,71.786,,107.679,42.321
Near-future reduction in pH will have no consistent ecologycal effects on the early life-history stages of reef corals,"Chua, Leggat, Moya and Baird",Acropora tenuis,54,,survivorship,0%,48.201,150,49.739,,,,,,,,,,,,,,,,8,,,ACIDIFICATION,survivorship,pH,48.201,,72.3015,77.6985
Near-future reduction in pH will have no consistent ecologycal effects on the early life-history stages of reef corals,"Chua, Leggat, Moya and Baird",Acropora tenuis,54,,survivorship,0%,95.883,150,26.15,,,,,,,,,,,,,,,,7.9,,,ACIDIFICATION,survivorship,pH,95.883,,143.8245,6.1755
Near-future reduction in pH will have no consistent ecologycal effects on the early life-history stages of reef corals,"Chua, Leggat, Moya and Baird",Acropora millepora,54,,survivorship,0%,50.772,150,25.637,,,,,,,,,,,,,,,,8.2,,,ACIDIFICATION,survivorship,pH,50.772,,76.158,73.842
Near-future reduction in pH will have no consistent ecologycal effects on the early life-history stages of reef corals,"Chua, Leggat, Moya and Baird",Acropora millepora,54,,survivorship,0%,50.764,150,25.642,,,,,,,,,,,,,,,,8.1,,,ACIDIFICATION,survivorship,pH,50.764,,76.146,73.854
Near-future reduction in pH will have no consistent ecologycal effects on the early life-history stages of reef corals,"Chua, Leggat, Moya and Baird",Acropora millepora,54,,survivorship,0%,25.658,150,27.18,,,,,,,,,,,,,,,,8,,,ACIDIFICATION,survivorship,pH,25.658,,38.487,111.513
Near-future reduction in pH will have no consistent ecologycal effects on the early life-history stages of reef corals,"Chua, Leggat, Moya and Baird",Acropora millepora,54,,survivorship,0%,26.663,150,13.844,,,,,,,,,,,,,,,,7.9,,,ACIDIFICATION,survivorship,pH,26.663,,39.9945,110.0055
Temperature affects the early life history stages of corals more than near future ocean acidification,"Chua, Leggat, Moya and Baird",Acropora tenuis,55,,fertilisation,0%,88.75,240,2.649,,,,,,,,,,,,,27,,,8.17,,,ACIDIFICATION,fertilisation,pH/temp,88.75,,213,27
